date,record_id,net_profit,revenue,operating_cash_flow,accounts_receivable,dso,budgeted_amount,actual_spend,budget_accuracy_score,internal_csat_score
2025-02-13,FIN07513,459369.25,3033792.47,513132.65,994251.71,50.3,2305746.94,1924797.44,96.15,4.49
2025-02-14,FIN02612,747967.35,4503093.58,448968.44,4853823.29,36.85,5024958.44,3932915.62,89.44,4.37
2025-02-15,FIN07041,375837.38,560321.65,593606.75,4392538.72,54.38,3418696.86,5089669.76,94.2,4.96
2025-02-16,FIN09555,1452797.3,5119072.15,1010905.8,5773123.34,40.31,3381212.37,2119755.83,97.45,4.25
2025-02-17,FIN06235,307650.16,2731387.12,778679.12,4705735.72,51.97,3840283.67,3297001.35,94.87,4.84
2025-02-18,FIN05486,677866.36,2350965.01,535375.87,2168750.49,48.15,1327505.76,3670924.46,90.95,4.84
2025-02-19,FIN07099,891293.83,1522946.81,764976.48,7206364.76,60.9,4435152.96,3631154.87,94.86,5.1
2025-02-20,FIN09670,1381327.13,613532.24,930944.17,4060001.72,43.02,2844368.22,3062187.69,99.93,4.47
2025-02-21,FIN00775,305511.05,4119632.66,835647.75,4364688.65,41.93,3909163.7,4020018.11,98.61,4.79
2025-02-22,FIN08226,1277336.64,3058684.45,662005.57,2261163.03,44.79,1423071.73,3645875.41,94.83,5.23
2025-02-23,FIN03152,846233.76,1129814.38,520168.13,3398844.17,42.33,735460.23,1175024.42,97.76,4.41
2025-02-24,FIN01585,475402.53,1122573.23,790197.76,2373692.84,51.9,4119497.44,4201712.08,93.95,4.16
2025-02-25,FIN03943,1015196.77,2479855.05,729024.17,4026528.57,30.95,3489562.09,4227764.77,90.09,4.06
2025-02-26,FIN07555,916839.66,5316406.56,829737.82,8402443.78,35.83,1665362.59,1856520.69,92.34,4.79
2025-02-27,FIN03073,617974.83,2587659.16,777540.7,1242715.58,35.7,1711576.77,3007571.26,99.52,4.06
2025-02-28,FIN01021,868507.76,828188.28,860724.2,681612.86,53.2,4558324.77,3934750.07,94.22,4.48
2025-03-01,FIN03843,698331.29,2607252.77,542591.29,7843946.43,59.79,1255336.35,2652365.75,94.31,4.71
2025-03-02,FIN07989,884853.74,2569078.71,914491.11,3942064.61,44.06,5296357.1,4494525.86,94.14,4.64
2025-03-03,FIN09692,1089990.77,-860810.6,689701.74,2874588.92,43.5,1667404.18,6349044.57,100.51,4.71
2025-03-04,FIN06873,1435449.51,2878128.16,1066626.53,6842605.42,45.57,3863377.27,1823909.63,99.7,4.65
2025-03-05,FIN05675,379564.49,2628205.0,511686.59,3021928.03,55.03,2483577.82,969039.38,101.42,4.95
2025-03-06,FIN00161,1639989.48,3939994.08,998515.48,8667835.92,36.92,3813144.98,3389539.63,94.55,4.32
2025-03-07,FIN04297,112484.39,5570991.6,689764.21,6002139.13,47.03,2176093.43,3989676.92,95.86,4.4
2025-03-08,FIN00995,785652.07,4548898.07,519268.56,3295221.25,53.42,2720189.58,2621403.02,90.63,4.37
2025-03-09,FIN07629,1062390.5,2574504.58,552899.25,9437066.62,49.31,3010860.51,5040845.68,99.27,4.82
2025-03-10,FIN09467,947475.67,1389352.08,585728.24,3021697.28,46.61,1522481.54,1030007.62,91.64,4.84
2025-03-11,FIN01016,609568.14,6595932.77,735183.04,6151132.11,53.64,4009535.15,3948526.68,95.63,4.71
2025-03-12,FIN07869,764586.53,3038735.37,754990.12,5123003.39,21.52,2220184.37,2082680.26,91.84,4.92
2025-03-13,FIN06439,658064.93,2974656.86,534869.8,7450554.91,50.84,2626291.44,5423153.78,93.31,4.26
2025-03-14,FIN07892,622032.65,2920814.65,645146.3,8053705.82,39.29,1533665.47,5815547.22,92.59,5.05
2025-03-15,FIN06863,1160089.93,3235213.95,1080078.12,4502395.48,29.09,-703646.4,1851678.61,93.25,5.01
2025-03-16,FIN07916,975902.36,2750696.61,996825.11,2678750.83,49.39,2679902.07,2163567.0,93.45,4.79
2025-03-17,FIN08529,583315.25,2143288.24,737623.6,5496079.79,56.87,6394965.96,4187966.29,93.42,5.09
2025-03-18,FIN00878,1178785.06,2181211.25,657664.16,2854521.89,43.77,4072003.5,2396911.37,97.41,4.12
2025-03-19,FIN09268,957312.61,2908606.84,674130.56,9102901.43,53.22,2924992.03,2887830.74,91.82,4.44
2025-03-20,FIN04887,1146352.15,2186070.17,773193.87,4745102.87,58.94,2577362.72,2989542.58,95.65,4.38
2025-03-21,FIN04859,1077837.72,1946360.5,444718.23,3579858.46,56.36,2984530.05,195237.37,98.53,4.79
2025-03-22,FIN06331,532430.3,3105534.18,598369.09,4856889.05,59.18,3733142.71,2933189.67,93.53,4.29
2025-03-23,FIN08571,632945.0,2594187.59,315080.99,1300239.47,51.4,1267606.13,1962195.72,92.93,4.8
2025-03-24,FIN08684,1121834.83,5082911.7,730175.98,2172128.58,45.62,4542467.82,2244641.4,94.34,4.97
2025-03-25,FIN07208,1070636.56,-795843.99,779954.44,7215286.32,31.07,3973231.22,5027013.0,98.42,4.78
2025-03-26,FIN05276,834591.92,4499295.11,553039.64,2902865.67,42.83,3977232.76,1147952.16,95.57,4.67
2025-03-27,FIN02062,886278.38,4718004.24,965999.94,1997299.17,37.65,3578122.59,4121332.2,93.47,4.31
2025-03-28,FIN00064,1320150.82,21359.29,403973.08,5674121.89,63.78,2980464.56,2552306.77,96.41,4.35
2025-03-29,FIN08006,621207.55,2470088.31,356074.28,7181132.24,43.44,3912560.54,2551161.45,91.82,4.94
2025-03-30,FIN02568,1046977.62,2429406.01,695092.1,6097399.35,46.03,3796916.75,4088529.54,96.98,4.81
2025-03-31,FIN05463,766803.72,963494.62,860231.5,6740775.34,49.74,2447303.56,3441592.08,96.19,4.58
2025-04-01,FIN02027,761012.25,1854434.75,988069.67,2670909.38,45.34,2134018.17,3772820.55,94.12,4.47
2025-04-02,FIN02695,1253261.15,1383621.92,557918.1,1126832.35,59.66,3097809.94,4343978.08,92.59,4.02
2025-04-03,FIN09687,1151046.42,5434193.43,866571.42,7913981.62,39.56,5162726.6,2477106.49,92.45,4.29
2025-04-04,FIN05258,1146594.27,4278817.22,642305.02,3678866.8,46.65,1184427.72,2073520.53,96.55,5.12
2025-04-05,FIN05618,1330550.97,4754040.99,615381.79,3845685.49,38.52,858504.34,1394125.34,98.56,4.23
2025-04-06,FIN06736,850261.16,3976024.88,827422.61,7511974.89,33.52,3187566.64,1767271.79,93.17,4.64
2025-04-07,FIN00391,1097402.71,1357480.79,780983.63,5719577.65,39.66,3025084.32,7189783.35,96.33,4.87
2025-04-08,FIN05892,726392.74,2212817.69,333587.74,5486596.43,44.64,3199810.37,4741194.91,88.98,4.23
2025-04-09,FIN03561,963619.44,3647352.8,946438.39,9454931.37,41.24,3300563.94,1012095.09,93.32,4.64
2025-04-10,FIN06184,793744.44,1225789.77,927077.06,2933923.06,38.96,2633993.21,1053205.86,94.92,4.85
2025-04-11,FIN03099,878676.08,3963752.76,524458.8,6582406.54,32.77,5078317.58,3645325.34,92.38,4.59
2025-04-12,FIN06278,1064948.04,2614918.09,729489.52,4560462.97,44.24,668190.08,3739278.16,92.3,5.39
2025-04-13,FIN08392,536459.03,2424623.81,749207.7,5051721.4,31.92,1770315.44,3741604.1,93.08,4.12
2025-04-14,FIN03104,1624791.13,3960868.59,702363.35,7976984.93,51.55,2805142.85,2586795.79,95.85,4.88
2025-04-15,FIN07215,466238.25,3583525.99,539566.12,5607212.69,45.68,607855.06,2772839.68,94.47,4.54
2025-04-16,FIN02454,388399.03,2444226.41,515212.51,5677937.47,32.32,2701552.5,3424105.93,88.54,4.8
2025-04-17,FIN08996,1275447.28,4595256.16,644905.51,6918304.4,42.28,5323178.31,3076464.39,88.88,4.71
2025-04-18,FIN02731,1138425.28,1425378.47,885450.81,3580714.82,38.44,2982276.45,-235211.68,93.26,4.38
2025-04-19,FIN08154,1075777.79,3826420.94,759158.46,2479553.78,47.73,3281654.63,2622935.52,96.33,4.65
2025-04-20,FIN09762,1077357.85,3794113.17,575637.55,2002179.24,56.58,1154381.1,1729925.68,87.07,4.07
2025-04-21,FIN05056,837828.12,2516978.93,804947.33,-137530.28,28.7,2073005.67,3204780.59,93.57,4.76
2025-04-22,FIN08110,506906.82,3416386.32,78214.19,9202323.46,45.96,2417117.14,7241737.93,93.49,4.67
2025-04-23,FIN03840,870752.2,1184778.51,880640.38,1866584.19,43.57,2499135.54,3480998.97,99.02,4.77
2025-04-24,FIN01028,589203.68,4262331.98,300802.3,3914364.88,50.78,4781214.94,2502647.64,93.9,4.88
2025-04-25,FIN07385,1207023.38,2693335.11,577278.29,3785362.76,46.81,3748227.52,4277343.32,96.11,4.69
2025-04-26,FIN00502,787419.85,2215360.57,425270.92,5141843.28,38.44,1366566.59,3646505.99,95.42,4.63
2025-04-27,FIN06910,533738.2,4439166.26,390138.81,6322118.59,42.2,3304204.72,3556583.36,88.86,4.34
2025-04-28,FIN09062,722235.1,1958389.91,883061.54,6425990.23,38.06,3663372.46,3824880.03,97.23,4.39
2025-04-29,FIN06938,996810.41,962151.05,556148.17,3074258.48,54.29,4579320.12,5907531.13,95.63,4.92
2025-04-30,FIN04488,631620.01,752511.93,719593.03,4040051.92,45.15,5207702.35,1328417.56,96.48,4.99
2025-05-01,FIN00206,534963.46,3812377.37,640616.36,5084198.9,61.44,1504065.28,3633496.27,106.35,4.52
2025-05-02,FIN05134,933526.74,1143300.33,745797.23,3850658.68,44.44,1795484.75,1622215.88,88.99,4.6
2025-05-03,FIN05977,934005.12,5437764.21,665456.63,8160127.1,38.82,1158072.29,3751127.15,99.99,4.33
2025-05-04,FIN07721,652851.66,9277.42,392485.33,5568064.16,31.84,2618557.88,1633270.09,94.18,4.92
2025-05-05,FIN07035,666277.18,5355223.45,850027.5,6134373.84,29.33,3617907.52,2353473.64,95.84,4.77
2025-05-06,FIN01484,929175.34,3253512.12,550917.77,5967207.58,31.23,4361273.46,2529138.5,94.88,5.13
2025-05-07,FIN07858,300940.94,2818111.62,337564.49,7152735.13,47.28,2844101.77,4354942.41,93.78,4.34
2025-05-08,FIN00863,316129.75,2183955.9,564094.74,4848393.93,49.37,2496092.84,4272534.89,93.36,4.48
2025-05-09,FIN02790,573767.36,3519676.62,951300.24,1417016.19,31.25,3169013.25,1163452.55,95.96,4.65
2025-05-10,FIN07408,762595.44,2901700.22,820710.17,5356107.98,52.72,1760832.63,3031988.37,90.63,4.77
2025-05-11,FIN08755,958661.72,4515983.61,580046.28,2915722.74,40.77,5933977.07,1933675.91,97.18,4.53
2025-05-12,FIN05116,1394071.39,3116566.56,579924.72,3200709.06,46.23,658548.64,1145081.78,93.81,4.34
2025-05-13,FIN06019,1163102.79,3167606.95,585469.73,5789544.79,58.94,3216075.15,2641299.17,91.74,4.83
2025-05-14,FIN01757,782603.34,2440482.58,1066925.05,7303213.44,52.74,5839899.87,2509898.09,93.71,4.79
2025-05-15,FIN07574,835296.9,2874377.67,726705.62,4477475.88,42.63,2962176.62,6439327.21,98.64,4.33
2025-05-16,FIN06374,467542.48,3390449.87,736362.54,5145154.99,37.23,2681312.86,3575065.89,93.46,4.97
2025-05-17,FIN06892,835485.01,535273.03,856856.06,8380401.06,26.31,2442445.48,973962.81,96.04,4.92
2025-05-18,FIN01678,734472.43,1047433.92,697970.2,4987082.74,38.73,2695078.39,2141706.21,92.9,4.62
2025-05-19,FIN03242,963078.08,4006574.91,598034.73,10468845.58,43.13,4911352.28,4420404.05,97.2,4.61
2025-05-20,FIN04636,533089.92,3196701.99,610619.69,5741123.73,36.4,-203568.3,5953358.02,96.99,4.74
2025-05-21,FIN01059,1036601.04,2694635.1,635661.92,339831.03,43.82,5140486.74,674621.3,100.35,4.35
2025-05-22,FIN06668,1415527.88,2981030.37,642563.22,6177244.39,45.63,920670.44,252341.06,94.5,4.6
2025-05-23,FIN09914,801739.92,3446733.54,796100.82,5313084.81,43.01,2571995.54,5640926.37,96.94,3.98
2025-05-24,FIN03157,992615.14,2191255.82,660462.98,7422719.14,39.33,2339997.54,3512794.87,95.29,4.83
2025-05-25,FIN05915,1100465.49,1853744.24,797106.64,5991122.99,46.42,3792263.92,1705666.57,98.75,4.15
2025-05-26,FIN09789,692383.4,3232045.33,633832.1,4106609.9,48.79,672156.25,3721125.51,92.93,5.01
2025-05-27,FIN02693,926199.9,1570672.83,665820.63,1585429.74,35.51,3611935.05,-833486.33,97.16,4.49
2025-05-28,FIN03627,847115.97,3532575.53,248913.21,3942762.15,57.19,5840903.54,2957918.49,94.45,4.53
2025-05-29,FIN09555,878930.39,546004.56,833980.39,2453291.65,44.11,1007400.17,3424022.1,94.82,4.41
2025-05-30,FIN05450,553364.25,4411075.9,719589.94,3080188.5,45.12,3223160.41,4280889.81,95.27,4.51
2025-05-31,FIN01663,851572.25,3623615.32,850377.45,5794686.29,51.1,2007910.7,1496490.75,95.74,4.98
2025-06-01,FIN09721,1028618.53,3317198.88,68636.25,8305380.55,46.98,3560160.37,3076168.67,94.67,3.89
2025-06-02,FIN05592,1385017.83,4345334.19,1069259.02,5344460.52,53.22,2979795.53,1623590.01,95.63,4.95
2025-06-03,FIN07392,1201097.17,5311387.88,622013.83,1651405.97,47.45,2037154.82,3319957.4,99.57,4.68
2025-06-04,FIN01306,1647523.61,4390156.15,872493.7,5460393.93,39.65,3648605.1,1666800.96,97.85,4.25
2025-06-05,FIN06776,555481.47,350340.52,441282.87,7206504.04,48.1,5527046.75,2366785.28,97.52,4.29
2025-06-06,FIN05864,1168584.83,1144506.35,773044.51,3012251.97,35.05,2680078.96,1522465.56,93.69,5.06
2025-06-07,FIN09474,910962.51,2070908.05,438570.92,4116916.24,45.9,3979476.11,3888501.47,92.44,4.32
2025-06-08,FIN07526,1661216.71,2991864.24,524818.88,4462190.15,44.67,1107139.97,4186333.19,97.77,4.26
2025-06-09,FIN08901,540169.21,3687371.79,1034261.05,2605657.46,43.16,1587762.44,2616009.69,97.54,4.91
2025-06-10,FIN05575,528419.34,1928111.4,611757.38,5933306.4,43.85,3626537.1,3008002.47,99.26,4.68
2025-06-11,FIN05530,618283.03,3219200.39,693683.11,4147260.75,28.65,5070116.77,872000.6,93.26,4.32
2025-06-12,FIN04413,48242.11,1886175.73,824694.09,5402184.23,40.2,3459888.62,2522549.13,94.35,4.65
2025-06-13,FIN03748,645817.55,2089727.0,749539.27,2367448.26,45.77,2505780.58,2880944.46,90.27,4.3
2025-06-14,FIN00663,558553.17,964698.11,680230.61,3412366.6,46.35,2951463.04,6718140.63,93.87,4.9
2025-06-15,FIN01998,898642.54,1648688.41,723298.14,6105358.81,36.05,1168303.13,1355600.35,97.89,4.88
2025-06-16,FIN07994,970196.53,1042483.01,1132500.84,3562417.53,55.93,3815039.72,5056528.6,93.66,4.74
2025-06-17,FIN01495,1543943.66,1574209.34,638468.78,8437864.7,37.45,4211449.89,4385171.75,96.86,4.69
2025-06-18,FIN03304,1197789.11,4445720.77,690404.23,3500184.48,53.37,2307399.37,3356235.74,94.46,5.08
2025-06-19,FIN03763,626692.09,1611667.27,860945.35,4949773.95,48.67,2281784.44,5479530.27,95.94,4.59
2025-06-20,FIN05232,506472.96,6679441.93,871960.35,6593437.03,39.36,3331848.14,3487641.6,91.69,4.26
2025-06-21,FIN01853,1026345.43,3652932.13,888321.67,1134831.03,60.35,2329331.23,3512141.24,95.25,4.71
2025-06-22,FIN06585,348746.93,3216468.78,778255.02,339724.1,34.61,2858111.38,2876755.24,86.37,5.17
2025-06-23,FIN01291,1527224.96,1740479.12,420586.61,885716.68,52.93,5948507.0,4710866.96,94.47,4.3
2025-06-24,FIN03581,1283422.69,3945800.04,977932.98,7359637.18,53.64,2600000.22,4528273.66,90.3,4.49
2025-06-25,FIN07554,666973.66,2140492.7,419916.03,3146745.49,39.15,2441168.81,2054211.62,98.49,4.7
2025-06-26,FIN07280,201833.59,3127577.36,710786.81,10367881.96,57.03,2028515.26,1057818.49,97.25,4.57
2025-06-27,FIN01636,1348646.25,6577149.92,498620.71,3117978.85,42.79,4014340.32,2661464.1,96.36,4.31
2025-06-28,FIN03696,799578.78,2819035.83,637160.04,4856589.52,47.46,2693890.53,1803721.55,99.4,4.9
2025-06-29,FIN00698,1305250.67,4581027.49,716031.58,8008658.73,47.22,2025902.32,2861808.81,92.27,5.24
2025-06-30,FIN04737,246220.37,1960041.44,714545.05,9085964.91,43.8,4837804.99,4730791.74,100.05,4.64
2025-07-01,FIN00854,618289.62,2905444.28,734732.34,9214621.1,51.99,4978064.98,2296102.63,97.7,4.33
2025-07-02,FIN08164,844368.14,5460411.35,973974.31,7233750.54,51.84,2095746.92,2891548.46,94.33,4.15
2025-07-03,FIN05855,859974.37,2067868.22,741078.49,6805822.05,29.8,289161.72,3036425.53,98.29,4.66
2025-07-04,FIN07392,674119.32,5519337.98,601022.88,5803854.28,56.27,4390066.54,4171937.97,91.81,4.9
2025-07-05,FIN06528,1075302.95,3956329.63,843567.71,6235336.22,30.55,1975595.42,-274846.4,92.63,4.72
2025-07-06,FIN05249,443203.69,2159128.1,888811.52,3148306.79,53.91,4080595.14,2081474.26,93.25,4.59
2025-07-07,FIN05172,789169.01,3849726.96,403603.28,2528338.0,54.73,141389.4,3256602.57,93.48,4.42
2025-07-08,FIN01707,887388.27,4330992.26,769958.34,4420251.1,35.5,4226095.69,4677120.97,91.96,4.28
2025-07-09,FIN05791,1034765.96,3834732.42,790789.84,4032940.25,41.4,1224287.58,2246394.61,98.54,4.82
2025-07-10,FIN09925,1108493.87,733275.92,590301.89,3375751.36,35.38,3995180.5,257184.86,94.26,4.84
2025-07-11,FIN05535,421882.19,1926139.96,926196.9,6045004.44,43.1,2972839.95,3843356.13,96.03,4.15
2025-07-12,FIN04931,268772.74,2604740.56,619912.87,6646176.77,42.29,1591325.28,2040297.86,93.36,5.03
2025-07-13,FIN03510,1320155.27,2849634.6,675243.7,4633355.07,51.72,2371685.66,1243975.87,89.75,4.75
2025-07-14,FIN00202,966666.0,3833122.48,615292.56,7858712.92,56.32,3931762.26,2056125.05,95.79,4.98
2025-07-15,FIN04218,562533.96,3206373.46,653162.64,1777237.05,57.06,3103571.88,2687977.23,89.49,4.21
2025-07-16,FIN08958,1422412.88,1065602.43,429967.23,3978434.83,40.09,3786356.26,2084283.75,94.81,4.2
2025-07-17,FIN04389,885660.39,3492881.33,360957.11,2763720.79,43.15,5772600.58,-215480.75,91.06,4.55
2025-07-18,FIN02327,1283369.24,3818851.55,970118.82,94238.31,30.37,720502.56,4241808.21,100.75,4.73
2025-07-19,FIN08004,867653.88,3746982.52,480014.87,4236112.66,37.97,5260028.42,4784574.17,97.64,5.09
2025-07-20,FIN02931,1612960.57,4484118.98,451021.56,4145404.74,53.33,3101376.61,3889055.64,95.31,4.78
2025-07-21,FIN07777,1498763.01,4134844.8,217760.23,7942113.56,58.97,1670024.9,1318652.55,98.66,4.52
2025-07-22,FIN00197,749314.96,3604631.36,521769.05,5892746.31,34.26,1054287.7,2663603.37,92.56,4.3
2025-07-23,FIN07125,1205696.42,2855672.89,384436.07,2050061.62,39.82,2682623.64,2943700.56,96.58,4.93
2025-07-24,FIN01930,1083725.86,604895.46,979656.08,8733040.54,44.73,4267550.26,3813306.36,95.59,4.32
2025-07-25,FIN06287,1354164.99,3562805.0,852747.6,7263162.7,47.39,2770477.93,3913217.35,95.77,5.04
2025-07-26,FIN08800,481604.05,3248800.9,511894.85,5779638.97,37.94,5108697.8,1898343.88,98.68,4.51
2025-07-27,FIN09339,1098935.21,3339198.93,1102192.91,3902220.42,48.64,881833.08,3070865.26,97.12,5.03
2025-07-28,FIN04282,1238172.62,1148508.17,847116.48,2200396.84,40.85,2935224.74,3610005.21,95.84,4.78
2025-07-29,FIN02511,184781.03,1425388.07,584828.09,3563871.89,44.84,1165469.78,5044525.8,90.23,4.55
2025-07-30,FIN09986,399964.39,4445028.97,148300.5,6956014.49,49.7,3471330.03,3965174.06,92.24,4.44
2025-07-31,FIN00659,79899.43,2898983.02,1109922.82,8803842.91,45.02,4217948.33,4086640.09,94.65,4.49
2025-08-01,FIN02811,741671.05,3919187.39,371090.23,8011290.74,41.18,2352101.16,3073495.8,95.28,4.71
2025-08-02,FIN07098,1110710.23,2995015.63,319735.25,3293043.31,44.01,-763404.05,4979356.37,91.74,4.61
2025-08-03,FIN06546,1404167.52,2997049.88,855307.73,1828484.53,44.2,3236347.53,3541740.69,101.97,4.42
2025-08-04,FIN09561,870112.88,4282503.56,1139795.15,4755205.11,41.75,3575643.84,1716017.12,99.39,4.54
2025-08-05,FIN01986,1451377.99,2224809.52,927916.46,322006.98,42.72,3529350.72,4969171.95,96.75,4.61
2025-08-06,FIN08338,326361.04,3090947.59,763235.31,5178438.25,58.82,4715776.33,3955687.7,95.22,3.99
2025-08-07,FIN02911,205480.09,2300886.6,769427.23,4085372.71,49.82,1424218.29,2316585.37,94.4,4.72
2025-08-08,FIN01734,821637.08,2340190.51,821351.31,3346011.85,42.4,3923054.99,2264222.25,92.26,4.31
2025-08-09,FIN01843,986016.86,2517508.54,802383.84,725399.38,51.0,4654028.93,3379134.15,95.23,4.26
2025-08-10,FIN08680,830182.23,3269240.31,706482.1,5620596.73,42.07,414658.43,3618487.55,95.75,4.11
2025-08-11,FIN02976,69351.2,2277578.88,670952.78,3191226.19,55.13,3408576.15,3236502.27,91.42,4.08
2025-08-12,FIN01959,809083.73,4731687.41,637470.23,1711696.06,48.17,2233074.35,3400299.99,95.97,4.21
2025-08-13,FIN05759,354641.28,1689190.56,498683.2,-2240921.71,44.03,2836151.75,5395253.95,94.56,4.39
2025-08-14,FIN06694,1092810.82,2690548.51,593692.1,4364200.21,48.84,3448563.73,4492464.47,89.5,5.13
2025-08-15,FIN02385,979485.53,2332783.88,310188.37,8543016.78,31.34,2257261.63,3226939.19,92.52,4.44
2025-08-16,FIN04736,490968.36,5002242.42,630294.42,8285307.34,35.19,1988325.61,4305370.36,93.81,4.64
2025-08-17,FIN01802,650262.74,3233049.21,451583.89,3366769.9,34.61,3001205.22,1469729.55,100.46,4.7
2025-08-18,FIN08155,446347.19,4414880.36,428498.96,3029830.45,46.2,1401114.02,3524737.27,96.62,4.62
2025-08-19,FIN08120,818970.51,853065.45,686147.52,5516517.12,59.98,1403141.34,5552346.36,91.15,4.57
2025-08-20,FIN06616,1199553.44,3332791.56,929468.08,2109968.97,64.31,3921852.39,2639821.12,96.41,4.25
2025-08-21,FIN05534,473825.57,4213665.6,834379.65,5128806.47,50.49,1313292.81,1735345.32,90.54,4.99
2025-08-22,FIN04061,1030880.08,3071370.26,334770.42,6206821.85,49.3,3903216.34,2016268.31,98.13,5.09
